Time,Point,Error
02-12-2017 11:47:12,0,Error In Compile !
02-12-2017 11:47:58,10,None
02-12-2017 12:41:03,10,None
02-12-2017 13:09:18,10,None
02-12-2017 13:14:38,0,Error In Compile !
02-12-2017 17:05:58,10,None
02-12-2017 23:23:21,10,None
02-12-2017 23:24:55,0,Error In Compile !
03-12-2017 00:15:31,10,None
03-12-2017 13:32:13,10,None
03-12-2017 13:36:09,10,None
03-12-2017 13:41:34,10,None
03-12-2017 13:51:13,10,None
04-12-2017 18:56:28,10,None
04-12-2017 23:28:14,10,None
05-12-2017 00:32:13,10,None
05-12-2017 01:11:39,10,None
05-12-2017 09:31:02,10,None
05-12-2017 09:37:29,7,None
05-12-2017 09:38:00,0,Error In Compile !
